STUDY_ID,valid_name,CEN_LATITUDE,CEN_LONGITUDE,taxon,REALM
702,Bombycilla cedrorum,33.6,-112.1,Birds,Terrestrial
582,Bombycilla garrulus,59.817,22.9,Birds,Terrestrial
634,Bombycilla garrulus,62.417468,17.222083,Birds,Terrestrial
702,Botaurus lentiginosus,33.6,-112.1,Birds,Terrestrial
634,Botaurus stellaris,62.417468,17.222083,Birds,Terrestrial
582,Botaurus stellaris,59.817,22.9,Birds,Terrestrial
602,Botaurus stellaris,42.416687,27.63608,Birds,Freshwater
699,Bothragonus swanii,48.737685,-125.118645,Fish,Marine
651,Bothus mancus,14.9,148.6,Fish,Marine
595,Brachyistius frenatus,33.630494,-119.395588,Fish,Marine
582,Branta bernicla,59.817,22.9,Birds,Terrestrial
634,Branta bernicla,62.417468,17.222083,Birds,Terrestrial
634,Branta canadensis,62.417468,17.222083,Birds,Terrestrial
624,Branta canadensis,51.300151,4.285094,Birds,Freshwater
582,Branta canadensis,59.817,22.9,Birds,Terrestrial
702,Branta canadensis,33.6,-112.1,Birds,Terrestrial
632,Branta canadensis,33.45984,-112.0508,Birds,Terrestrial
582,Branta leucopsis,59.817,22.9,Birds,Terrestrial
634,Branta leucopsis,62.417468,17.222083,Birds,Terrestrial
602,Branta leucopsis,42.416687,27.63608,Birds,Freshwater
582,Branta ruficollis,59.817,22.9,Birds,Terrestrial
601,Branta ruficollis,42.915905,28.016112,Birds,Marine
602,Branta ruficollis,42.416687,27.63608,Birds,Freshwater
603,Branta ruficollis,44.10764,27.07529,Birds,Freshwater
582,Bubo bubo,59.817,22.9,Birds,Terrestrial
697,Bubo bubo,46.54,2.26,Birds,Terrestrial
582,Bubo scandiacus,59.817,22.9,Birds,Terrestrial
702,Bubo virginianus,33.6,-112.1,Birds,Terrestrial
632,Bubo virginianus,33.45984,-112.0508,Birds,Terrestrial
593,Bubulcus ibis,4.787541,-74.063794,Birds,Terrestrial
702,Bubulcus ibis,33.6,-112.1,Birds,Terrestrial
756,Bubulcus ibis,37.67,-8.002,Birds,Terrestrial
696,Buccinum undatum,56.63,3.15,Molluscs,Marine
702,Bucephala albeola,33.6,-112.1,Birds,Terrestrial
582,Bucephala clangula,59.817,22.9,Birds,Terrestrial
634,Bucephala clangula,62.417468,17.222083,Birds,Terrestrial
601,Bucephala clangula,42.915905,28.016112,Birds,Marine
603,Bucephala clangula,44.10764,27.07529,Birds,Freshwater
702,Bucephala clangula,33.6,-112.1,Birds,Terrestrial
602,Bucephala clangula,42.416687,27.63608,Birds,Freshwater
600,Bucephala clangula,43.087639,25.073805,Birds,Freshwater
