STUDY_ID,valid_name,CEN_LATITUDE,CEN_LONGITUDE,taxon,REALM
702,Dryobates scalaris,33.6,-112.1,Birds,Terrestrial
702,Leuconotopicus villosus,33.6,-112.1,Birds,Terrestrial
634,Dryocopus martius,62.417468,17.222083,Birds,Terrestrial
582,Dryocopus martius,59.817,22.9,Birds,Terrestrial
697,Dryocopus martius,46.54,2.26,Birds,Terrestrial
593,Dubusia taeniata,4.787541,-74.063794,Birds,Terrestrial
592,Dubusia taeniata,4.67,-73.85,Birds,Terrestrial
582,Ardea alba,59.817,22.9,Birds,Terrestrial
593,Egretta caerulea,4.787541,-74.063794,Birds,Terrestrial
702,Egretta caerulea,33.6,-112.1,Birds,Terrestrial
624,Egretta garzetta,51.300151,4.285094,Birds,Freshwater
602,Egretta garzetta,42.416687,27.63608,Birds,Freshwater
702,Egretta thula,33.6,-112.1,Birds,Terrestrial
632,Egretta thula,33.45984,-112.0508,Birds,Terrestrial
593,Egretta thula,4.787541,-74.063794,Birds,Terrestrial
593,Elaenia flavogaster,4.787541,-74.063794,Birds,Terrestrial
593,Elaenia frantzii,4.787541,-74.063794,Birds,Terrestrial
593,Elanoides forficatus,4.787541,-74.063794,Birds,Terrestrial
756,Elanus caeruleus,37.67,-8.002,Birds,Terrestrial
593,Elanus leucurus,4.787541,-74.063794,Birds,Terrestrial
642,Elimia livescens,43.83516,-79.48421,Molluscs,Freshwater
745,Emberiza aureola,47.58333,133.5167,Birds,Terrestrial
756,Emberiza calandra,37.67,-8.002,Birds,Terrestrial
582,Emberiza calandra,59.817,22.9,Birds,Terrestrial
745,Emberiza chrysophrys,47.58333,133.5167,Birds,Terrestrial
697,Emberiza cia,46.54,2.26,Birds,Terrestrial
745,Emberiza cioides,47.58333,133.5167,Birds,Terrestrial
697,Emberiza cirlus,46.54,2.26,Birds,Terrestrial
634,Emberiza citrinella,62.417468,17.222083,Birds,Terrestrial
582,Emberiza citrinella,59.817,22.9,Birds,Terrestrial
697,Emberiza citrinella,46.54,2.26,Birds,Terrestrial
745,Emberiza elegans,47.58333,133.5167,Birds,Terrestrial
582,Emberiza elegans,59.817,22.9,Birds,Terrestrial
745,Emberiza fucata,47.58333,133.5167,Birds,Terrestrial
582,Emberiza hortulana,59.817,22.9,Birds,Terrestrial
634,Emberiza hortulana,62.417468,17.222083,Birds,Terrestrial
745,Emberiza leucocephalos,47.58333,133.5167,Birds,Terrestrial
745,Emberiza pallasi,47.58333,133.5167,Birds,Terrestrial
745,Emberiza pusilla,47.58333,133.5167,Birds,Terrestrial
582,Emberiza pusilla,59.817,22.9,Birds,Terrestrial
634,Emberiza pusilla,62.417468,17.222083,Birds,Terrestrial
634,Emberiza rustica,62.417468,17.222083,Birds,Terrestrial
582,Emberiza rustica,59.817,22.9,Birds,Terrestrial
745,Emberiza rustica,47.58333,133.5167,Birds,Terrestrial
745,Emberiza rutila,47.58333,133.5167,Birds,Terrestrial
582,Emberiza schoeniclus,59.817,22.9,Birds,Terrestrial
634,Emberiza schoeniclus,62.417468,17.222083,Birds,Terrestrial
745,Emberiza spodocephala,47.58333,133.5167,Birds,Terrestrial
745,Emberiza tristrami,47.58333,133.5167,Birds,Terrestrial
745,Emberiza yessoensis,47.58333,133.5167,Birds,Terrestrial
595,Embiotoca jacksoni,33.630494,-119.395588,Fish,Marine
595,Embiotoca lateralis,33.630494,-119.395588,Fish,Marine
699,Embiotoca lateralis,48.737685,-125.118645,Fish,Marine
702,Empidonax difficilis,33.6,-112.1,Birds,Terrestrial
632,Empidonax difficilis,33.45984,-112.0508,Birds,Terrestrial
702,Empidonax hammondii,33.6,-112.1,Birds,Terrestrial
632,Empidonax oberholseri,33.45984,-112.0508,Birds,Terrestrial
702,Empidonax oberholseri,33.6,-112.1,Birds,Terrestrial
702,Empidonax occidentalis,33.6,-112.1,Birds,Terrestrial
702,Empidonax traillii,33.6,-112.1,Birds,Terrestrial
593,Empidonax virescens,4.787541,-74.063794,Birds,Terrestrial
702,Empidonax wrightii,33.6,-112.1,Birds,Terrestrial
632,Empidonax wrightii,33.45984,-112.0508,Birds,Terrestrial
593,Empidonomus varius,4.787541,-74.063794,Birds,Terrestrial
696,Ennucula tenuis,56.63,3.15,Molluscs,Marine
699,Enophrys bison,48.737685,-125.118645,Fish,Marine
593,Ensifera ensifera,4.787541,-74.063794,Birds,Terrestrial
651,Epibulus insidiator,14.9,148.6,Fish,Marine
651,Epinephelus polyphekadion,14.9,148.6,Fish,Marine
696,Epitonium trevelyanum,56.63,3.15,Molluscs,Marine
702,Eremophila alpestris,33.6,-112.1,Birds,Terrestrial
582,Eremophila alpestris,59.817,22.9,Birds,Terrestrial
634,Eremophila alpestris,62.417468,17.222083,Birds,Terrestrial
593,Eremophila alpestris,4.787541,-74.063794,Birds,Terrestrial
632,Eremophila alpestris,33.45984,-112.0508,Birds,Terrestrial
593,Eriocnemis cupreoventris,4.787541,-74.063794,Birds,Terrestrial
592,Eriocnemis cupreoventris,4.67,-73.85,Birds,Terrestrial
593,Eriocnemis vestita,4.787541,-74.063794,Birds,Terrestrial
592,Eriocnemis vestita,4.67,-73.85,Birds,Terrestrial
582,Erithacus rubecula,59.817,22.9,Birds,Terrestrial
634,Erithacus rubecula,62.417468,17.222083,Birds,Terrestrial
697,Erithacus rubecula,46.54,2.26,Birds,Terrestrial
644,Esox lucius,43.69809,-79.27963,Fish,Freshwater
756,Estrilda astrild,37.67,-8.002,Birds,Terrestrial
641,Etheostoma caeruleum,43.83189,-79.15398,Fish,Freshwater
644,Etheostoma caeruleum,43.69809,-79.27963,Fish,Freshwater
644,Etheostoma exile,43.69809,-79.27963,Fish,Freshwater
641,Etheostoma nigrum,43.83189,-79.15398,Fish,Freshwater
644,Etheostoma nigrum,43.69809,-79.27963,Fish,Freshwater
641,Etheostoma olmstedi,43.83189,-79.15398,Fish,Freshwater
644,Etheostoma olmstedi,43.69809,-79.27963,Fish,Freshwater
702,Euphagus cyanocephalus,33.6,-112.1,Birds,Terrestrial
632,Euphagus cyanocephalus,33.45984,-112.0508,Birds,Terrestrial
593,Aratinga pertinax,4.787541,-74.063794,Birds,Terrestrial
696,Euspira nitida,56.63,3.15,Molluscs,Marine
582,Falco columbarius,59.817,22.9,Birds,Terrestrial
593,Falco columbarius,4.787541,-74.063794,Birds,Terrestrial
634,Falco columbarius,62.417468,17.222083,Birds,Terrestrial
702,Falco columbarius,33.6,-112.1,Birds,Terrestrial
632,Falco columbarius,33.45984,-112.0508,Birds,Terrestrial
702,Falco mexicanus,33.6,-112.1,Birds,Terrestrial
756,Falco naumanni,37.67,-8.002,Birds,Terrestrial
